"","SEQNO","ASSET","STRUC_TYPE","MDE_STRUCT","STRUC_DTAL","SW_CAT","PROP_NAME","ACCS_STRT","DEPARTMENT","SEDCONPMT","APPR_DATE","FINAL_DATE","TOTAL_DA","RCN","COMMENTS","POINT_X","POINT_Y","LAND_USE","UPDATE_BY","L_UPDATE","GISOBJID","SW_FILE","P_ST_ADD","MDE","MDN","EASEMENT","COVENANT","STATUS","INSP_REG","Acct","Type_Desc","lulc_70","lulc_40","lulc_30","lulc_20","year","site","lulc_unknown"
"11","202101",17912,"BR","FBIO","BR","AG","Ovid Hazen Wells","Skylark Drive","SWM-MNCPPC-DEP",210895,"01/12/2005 12:00:00 AM +0000","12/03/2009 12:00:00 AM +0000",NA,NA,"Pretreatment for Pond",1240258.62285,573695.760668,21,"MT","01/13/2014 12:00:00 AM +0000",100007464,NA,"Skylark Drive",NA,NA,NA,NA,"I","INSP-REG03","00030440","Bioretention, quality control",2199.83840350481,0,0,2698.04550199769,"2012","tr104",0
"12","202101.02",17974,"PDQN","XDPD","Pond","AG","Ovid Hazen Wells","Skylark Drive","SWM-MNCPPC-DEP",210895,"01/12/2005 12:00:00 AM +0000","12/03/2009 12:00:00 AM +0000",NA,NA,NA,1240206.01862,573712.948298,21,"MT","01/13/2014 12:00:00 AM +0000",100007465,NA,"Skylark Drive",NA,NA,NA,NA,"I","INSP-REG03","00030440","Pond-dry",56624.0439880742,0,0,46945.7154363666,"2012","tr104",0
"13","202101.15",17982,"PP","APRP","TRAIL A","AG","Ovid Hazen Wells","Skylark Drive","SWM-MNCPPC-DEP",210895,"01/12/2005 12:00:00 AM +0000","12/03/2009 12:00:00 AM +0000",NA,NA,NA,1241142.69391,572514.554369,21,"MT","01/13/2014 12:00:00 AM +0000",100007477,NA,"Skylark Drive",NA,NA,NA,NA,"D",NA,"00030440","Porous Pavement",2044.49134811573,0,0,419.954285256565,"2012","tr104",0
"14","292162.12",19712,"INFBERM","MIBR","SWM13","ESD","Wilson Wims Elementary School","12520 Blue Sky Drive
","SWM-MNCPPC-DEP",245371,"04/09/2012 12:00:00 AM +0000","12/08/2015 12:00:00 AM +0000",NA,NA,"Stru type changed back to INFBERM (from INFB), per Ed",1238395.11214,572568.698618,73,"EE","01/12/2022 12:00:00 AM +0000",100009256,NA,"12520 Blue Sky Drive",NA,NA,"L35286 F457",NA,"I","INSP-REG03","03628245","Infiltration Berm",1207.65348451212,0,0,0,"2012","tr104",0
"15","227716.15",14751,"AQSW","XOGS","PT 31A","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239716.98482,573485.083924,12,"SR","04/23/2012 12:00:00 AM +0000",100004479,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03413591","Aquaswirl",181.180501731578,0,0,8730.84292304609,"2012","tr104",0
"16","227716.16",14752,"AQSW","XOGS","PT 31B","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239593.5041,573313.208612,12,"SR","04/23/2012 12:00:00 AM +0000",100004480,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03413591","Aquaswirl",3315.98316424433,0,247.547984619625,127972.063074067,"2012","tr104",0
"17","229905.26",14769,"BR","FBIO","Biofiltration #2","AG","Arora Hills HOA","PERSIMMON RIDGE RD","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1239980.15687,572409.220263,12,"SR","06/17/2011 12:00:00 AM +0000",100004290,"204344","PERSIMMON RIDGE RD","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03414436","Bioretention, quality control",605.560642750934,0,0,0,"2012","tr104",0
"18","229905.27",14770,"BR","FBIO","Biofiltration #3","AG","Arora Hills HOA","SYCAMORE FARM DR","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240170.12007,571930.507965,12,"SR","06/17/2011 12:00:00 AM +0000",100004291,"204344","SYCAMORE FARM DR","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03414447","Bioretention, quality control",9502.91587891406,0,184.212695145514,142157.288465979,"2012","tr104",0
"19","229905.15",14658,"PDQNED","XDED","SWM Pond #6","AG","Arora Hills HOA","CYPRESS SPRING RD","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","75",NA,1240098.92631,570402.061547,41,"SR","06/17/2011 12:00:00 AM +0000",100004279,"204344","CYPRESS SPRING RD","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03484906","Pond-dry, extended detention",828.071446206421,0,0,383.14170329459,"2012","tr104",0
"20","229905.16",14918,"SF","FSND","SSF #6","AG","Arora Hills HOA","CYPRESS SPRING RD","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240212.05995,570465.248101,41,"SR","06/17/2011 12:00:00 AM +0000",100004280,"204344","CYPRESS SPRING RD","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03484906","Sand filter",24318.9447235465,0,528.794747223612,173162.159045032,"2012","tr104",0
"21","229905.17",14949,"STC","XOGS","Struc #603","UG","Arora Hills HOA","CYPRESS SPRING RD","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240159.40454,570520.009802,41,"SR","06/17/2011 12:00:00 AM +0000",100004281,"204344","CYPRESS SPRING RD","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03484906","Stormceptor",1211.20695851278,0,0,0,"2012","tr104",0
"22","229905.18",14818,"FSU","OTH","Div Struc #604","UG","Arora Hills HOA","CYPRESS SPRING RD","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240128.41313,570535.655768,41,"SR","06/17/2011 12:00:00 AM +0000",100004282,"204344","CYPRESS SPRING RD","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03484906","Flow splitter underground",605.603214305826,0,0,0,"2012","tr104",0
"23","229905.19",14950,"STC","XOGS","Struc #605","UG","Arora Hills HOA","CYPRESS SPRING RD","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240233.72395,570388.521548,41,"SR","06/17/2011 12:00:00 AM +0000",100004283,"204344","CYPRESS SPRING RD","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03484906","Stormceptor",319.067798089236,0,0,7960.92940893397,"2012","tr104",0
"24","229905.20",14819,"FSU","OTH","Div Struc #607","UG","Arora Hills HOA","CYPRESS SPRING RD","SWM-MCG-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240200.32539,570318.414733,41,"SR","06/17/2011 12:00:00 AM +0000",100004284,"204344","CYPRESS SPRING RD","1239459.00","572903.00",NA,NA,"I","INSP-REG03","ROW","Flow splitter underground",0,0,0,605.60863268096,"2012","tr104",0
"25","229905.21",14957,"STFIL","FUND","CELL #1 & 2","UG","Arora Hills HOA","SYCAMORE FARM DR","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240652.09023,571931.742215,13,"SR","06/17/2011 12:00:00 AM +0000",100004285,"204344","SYCAMORE FARM DR","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03473264","Stormfilter",17.7085211994126,0,0,1755.08712610975,"2012","tr104",0
"26","229905.22",14977,"UG","OTH","Struc #UG-1, 6 runs","UG","Arora Hills HOA","SYCAMORE FARM DR","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240739.64682,571954.753652,12,"SR","06/17/2011 12:00:00 AM +0000",100004286,"204344","SYCAMORE FARM DR","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03473264","Underground detention",0,0,0,5064.11321309063,"2012","tr104",0
"27","229905.23",14745,"AQSW","XOGS","Struc #PTUG-1","UG","Arora Hills HOA","SYCAMORE FARM DR","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240760.97453,571985.903524,12,"SR","06/17/2011 12:00:00 AM +0000",100004287,"204344","SYCAMORE FARM DR","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03473264","Aquaswirl",1776.93722637556,0,0,36940.8734767437,"2012","tr104",0
"28","229905.24",14820,"FSU","OTH","Div Struc #328","UG","Arora Hills HOA","CYPRESS SPRING RD","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240788.75696,571978.607279,12,"SR","06/17/2011 12:00:00 AM +0000",100004288,"204344","CYPRESS SPRING RD","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03473275","Flow splitter underground",1.80638385809652,0,0,11277.2327688932,"2012","tr104",0
"29","229905.25",14768,"BR","FBIO","Biofiltration #1","AG","Arora Hills HOA","SKYLARK RD","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240118.13855,573173.980544,12,"SR","06/17/2011 12:00:00 AM +0000",100004289,"204344","SKYLARK RD","1239459.00","572903.00",NA,NA,"I","INSP-REG03","00019258","Bioretention, quality control",95.1091396901757,505.683971559629,0,4.74972877861001,"2012","tr104",0
"30","233254.22",15175,"SC","OTH",NA,"NS","Clarksburg Village Phase 1","Blue Sky Drive","SWM-SFR",214221,"12/22/2004 12:00:00 AM +0000","09/13/2012 12:00:00 AM +0000",NA,NA,"SEDCONPMT, SW_FILE, SEQNO (old 262673), APPR & FINAL dates updated 2/9/17",1239026.2011,571988.365133,73,"SR","02/09/2017 12:00:00 AM +0000",100004517,"200006","Blue Sky Drive","1237158.00","573342.000",NA,NA,"I","INSP-REG03","03520925","Stormchamber",1320.69675754383,0,0,10252.9410803095,"2012","tr104",0
"31","233254.34",15187,"SC","OTH",NA,"NS","Clarksburg Village Phase 1","Blue Sky Drive","SWM-SFR",214221,"12/22/2004 12:00:00 AM +0000","09/13/2012 12:00:00 AM +0000",NA,NA,"SEDCONPMT, SW_FILE, SEQNO (old 262673), APPR & FINAL dates updated 2/9/17",1239317.77597,571168.586589,41,"SR","02/09/2017 12:00:00 AM +0000",100004529,"200006","Blue Sky Drive","1237158.00","573342.000",NA,NA,"I","INSP-REG03","03594617","Stormchamber",677.339453373104,415.097430314869,0,118.742207378149,"2012","tr104",0
"32","233254.35",15188,"SC","OTH",NA,"NS","Clarksburg Village Phase 1","Blue Sky Drive","SWM-SFR",214221,"12/22/2004 12:00:00 AM +0000","09/13/2012 12:00:00 AM +0000",NA,NA,"SEDCONPMT, SW_FILE, SEQNO (old 262673), APPR & FINAL dates updated 2/9/17",1239323.67688,571122.292062,41,"SR","02/09/2017 12:00:00 AM +0000",100004530,"200006","Blue Sky Drive","1237158.00","573342.000",NA,NA,"I","INSP-REG03","03594617","Stormchamber",352.833468914963,841.136551436968,0,0,"2012","tr104",0
"33","233254.36",15189,"SC","OTH",NA,"NS","Clarksburg Village Phase 1","Blue Sky Drive","SWM-SFR",214221,"12/22/2004 12:00:00 AM +0000","09/13/2012 12:00:00 AM +0000",NA,NA,"SEDCONPMT, SW_FILE, SEQNO (old 262673), APPR & FINAL dates updated 2/9/17",1239313.70872,571087.203878,41,"SR","02/09/2017 12:00:00 AM +0000",100004531,"200006","Blue Sky Drive","1237158.00","573342.000",NA,NA,"I","INSP-REG03","03594628","Stormchamber",2630.31818033103,58.8020267031388,0,7394.14187765494,"2012","tr104",0
"34","227716.19",14787,"BS","MSWB","#72B","NS","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239271.95782,572561.572976,12,"SR","04/23/2012 12:00:00 AM +0000",100004493,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03414174","Bioswale",552.709537554532,0,0,1542.86806980707,"2012","tr104",0
"35","227716.20",14936,"SF","FSND","#13","AG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239305.62967,574574.871771,12,"SR","04/23/2012 12:00:00 AM +0000",100004494,"204344","Skylark Road","570750","1241150","L35953 F001",NA,"I","INSP-REG03","03439210","Sand filter",3683.60200643074,0,0,11009.670049835,"2012","tr104",0
"36","227716.25",14832,"FSU","OTH","#162","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-MCG-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239715.44283,573518.152428,12,"SR","04/23/2012 12:00:00 AM +0000",100004483,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","ROW","Flow splitter underground",1.83514858945273,0,0,42066.4227773434,"2012","tr104",0
"37","227716.18",14833,"FSU","OTH","#140","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-MCG-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239532.66203,573335.098332,12,"SR","04/23/2012 12:00:00 AM +0000",100004484,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","ROW","Flow splitter underground",0,0,0,17785.5826099379,"2012","tr104",0
"38","227716.13",14775,"BR","FBIO","#30","AG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239147.20348,573606.413078,12,"SR","04/23/2012 12:00:00 AM +0000",100004485,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03413853","Bioretention, quality control",1879.28565494716,0,0,2685.45525603648,"2012","tr104",0
"39","227716.14",14753,"AQSW","XOGS","PT 30","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239141.3006,573631.065916,12,"SR","04/23/2012 12:00:00 AM +0000",100004486,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03413853","Aquaswirl",306.851333288476,0,0,298.681446218165,"2012","tr104",0
"40","227716.17",14834,"FSU","OTH","#119","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-MCG-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239122.89775,573642.00323,12,"SR","04/23/2012 12:00:00 AM +0000",100004487,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","ROW","Flow splitter underground",3.76109124394134,0,0,1809.37272144575,"2012","tr104",0
"41","227716.28",15173,"SC","OTH","32A","NS","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,"2012 - new \ No GISBOJID\ change SW Catg",1239289.96533,573357.592382,12,"HF","06/28/2012 12:00:00 AM +0000",100004488,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03413864","Stormchamber",0,0,0,605.538971634582,"2012","tr104",0
"42","227716.29",15174,"SC","OTH","32B","NS","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,"2012 - new \ No GISBOJID\Change SW Catg",1239385.97236,573262.36685,12,"HF","06/28/2012 12:00:00 AM +0000",100004489,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03413864","Stormchamber",0,0,0,7077.6335658785,"2012","tr104",0
"43","227716.23",14835,"FSU","OTH","#125","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239298.81965,573345.121278,12,"SR","04/23/2012 12:00:00 AM +0000",100004490,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03413864","Flow splitter underground",0,0,0,605.538971634582,"2012","tr104",0
"44","227716.24",14836,"FSU","OTH","#124","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239376.42382,573251.110967,12,"SR","04/23/2012 12:00:00 AM +0000",100004491,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03413864","Flow splitter underground",1311.80119054019,0,172.29078095872,56514.0932541601,"2012","tr104",0
"45","227716.22",14786,"BS","MSWB","#72A","NS","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,"HOA",1239545.91627,572645.427139,12,"SR","04/23/2012 12:00:00 AM +0000",100004492,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03414425","Bioswale",4549.63611818105,0,0,2836.33401979739,"2012","tr104",0
"46","227716.21",14837,"FS","OTH","10","AG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-MCG-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,"Struc type changed from FSU",1239357.42911,574668.508723,21,"KR","03/20/2017 12:00:00 AM +0000",100004495,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","ROW","Flow splitter",0,0,0,1193.80500060879,"2012","tr104",0
"47","229905.31",15167,"STC","XOGS","STRUC#22, SC","UG","Arora Hills HOA","POND PINE DR","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0","HOA",1240344.23455,570688.133482,13,"SR","06/17/2011 12:00:00 AM +0000",100004309,"204344","POND PINE DR","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03462534","Stormceptor",49.9725503032096,0,0,555.627566643525,"2012","tr104",0
"48","229905.33",14821,"FSU","OTH","Div Struc #628","UG","Arora Hills HOA","POND PINE DR","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240334.88024,570704.951033,13,"SR","06/17/2011 12:00:00 AM +0000",100004310,"204344","POND PINE DR","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03462534","Flow splitter underground",0,0,0,54423.769460272,"2012","tr104",0
"49","229905",14659,"PDQNED","XDED","SWM Pond #3","AG","Arora Hills HOA","BASSWOOD HILL DR","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","88",NA,1240294.84226,571736.694049,21,"SR","06/17/2011 12:00:00 AM +0000",100004311,"204344","BASSWOOD HILL DR","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03424947","Pond-dry, extended detention",1211.15122585464,0,0,0,"2012","tr104",0
"50","229905.02",14919,"SF","FSND","SSF #3","AG","Arora Hills HOA","BASSWOOD HILL DR","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0",NA,1240249.1022,571606.713337,21,"SR","06/17/2011 12:00:00 AM +0000",100004312,"204344","BASSWOOD HILL DR","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03424947","Sand filter",12441.7947443021,0,4962.38328391267,46743.4941714895,"2012","tr104",0
"51","227716.26",14980,"UG","OTH","31A","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239700.70893,573468.156793,12,"SR","04/23/2012 12:00:00 AM +0000",100004481,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03413591","Underground detention",0,0,0,1211.07228036132,"2012","tr104",0
"52","227716.27",14981,"UG","OTH","31B","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239608.69501,573329.484826,12,"SR","04/23/2012 12:00:00 AM +0000",100004482,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03413591","Underground detention",3315.98316424433,0,247.547984619625,127972.063074067,"2012","tr104",0
"53","229905.45",14875,"INFB","ITRN","Recharge facility R-13","UG","Arora Hills HOA","MAGNOLIA PARK PL","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0","STRU_TYPE and SW_CAT changed 2/2017 - Data Cleanup",1239937.59921,570913.700616,13,"KR","02/15/2017 12:00:00 AM +0000",100004305,"204344","MAGNOLIA PARK PL","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03463128","Infiltration Trench, Buried by Design",2028.75114354817,0,0,69867.2241867259,"2012","tr104",0
"54","229905.46",14876,"INFB","ITRN","Recharge facility R-14","UG","Arora Hills HOA","WINGED ELM DR","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0","STRU_TYPE and SW_CAT changed 2/2017 - Data Cleanup",1240424.71995,570839.664347,13,"KR","02/15/2017 12:00:00 AM +0000",100004306,"204344","WINGED ELM DR","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03462523","Infiltration Trench, Buried by Design",0,0,0,10444.7651774213,"2012","tr104",0
"55","229905.47",14877,"INFB","ITRN","Recharge facility R-15","UG","Arora Hills HOA","WINGED ELM DR","SWM-RESID-DEP",207068,"08/26/2003 12:00:00 AM +0000","09/10/2010 12:00:00 AM +0000","79.75","0","STRU_TYPE and SW_CAT changed 2/2017 - Data Cleanup",1240342.33101,570923.192395,13,"KR","02/15/2017 12:00:00 AM +0000",100004307,"204344","WINGED ELM DR","1239459.00","572903.00",NA,NA,"I","INSP-REG03","03462523","Infiltration Trench, Buried by Design",0,0,0,33607.6628508754,"2012","tr104",0
